Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
apparel,BLINKIN Soft Touch Thermal Skinny Tights For Women - Ultimate Warm Fleece Leggings For Women,₹499.00,"('4.2 out of 5 stars', '255 ratings')",https://www.amazon.in/BLINKIN-Velvet-Touch-Thermal-Tights/dp/B0DF2WPXV2/ref=zg_bs_g_apparel_d_sccl_1/257-6434182-2738106?psc=1,Amazon,Blinkin ®,-70%,https://m.media-amazon.com/images/I/514J3RIRx7L._SY550_.jpg
apparel,Lux Cottswool Men's Cotton Thermal Set,₹799.00,"('4.1 out of 5 stars', '14')",https://www.amazon.in/Lux-Cottswool-Cotton-Thermal-COTT_Black_FS_RN_TRO_Set_90/dp/B01N1FT6QP/ref=zg_bs_g_apparel_d_sccl_2/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,-20%,https://m.media-amazon.com/images/I/51d35byGmPL._SX466_.jpg
apparel,Boldfit Winter Cap set,₹349.00,"('3.9 out of 5 stars', '2')",https://www.amazon.in/Boldfit-Winter-Clothing-Mufflers-Clothes/dp/B0BLK1F584/ref=zg_bs_g_apparel_d_sccl_3/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,-78%,https://m.media-amazon.com/images/I/71PgXiVK43L._SX425_.jpg
apparel,SJeware 12 Pairs Solid Cotton Ankle Length Socks for Men & Women,₹199.00,"('4.0 out of 5 stars', '12')",https://www.amazon.in/SJEWARE-Pairs-Solid-Ankle-Multicolor/dp/B0BZVZYXV5/ref=zg_bs_g_apparel_d_sccl_4/257-6434182-2738106?psc=1,Amazon,Sjeware India,-85%,https://m.media-amazon.com/images/I/81TRdxk1wnL._SY550_.jpg
apparel,Jockey 2503 Women's Super Combed Cotton Rich Three Quarter Sleeve Thermal Tailored Fit Top with Stay Warm Technology,₹599.00,"('4.1 out of 5 stars', '5')",https://www.amazon.in/Jockey-Womens-Thermal-2503-0105-CHAML_Charcoal-Melange_Medium/dp/B014SQJENK/ref=zg_bs_g_apparel_d_sccl_5/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,Not Available,https://m.media-amazon.com/images/I/81J5gJij3PL._SX466_.jpg
apparel,Jockey Women Cotton Hipster Brief(Pack of 3),₹498.00,"('4.2 out of 5 stars', '38')",https://www.amazon.in/Jockey-Womens-Hipster-1406_Dark-Assorted_L/dp/B010FMJKFS/ref=zg_bs_g_apparel_d_sccl_6/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,Not Available,https://m.media-amazon.com/images/I/61bMkDF97VL._SX569_.jpg
apparel,Boldfit Hand Gloves for Men & Women Winter Gloves for Men for Woolen Knitted Winter Gloves for Women Thermal Hand Gloves for Winter Warm Gloves for Women Winter Wear Unisex Hand Gloves - Black 1Pair,₹199.00,"('4.0 out of 5 stars', '485 ratings')",https://www.amazon.in/Boldfit-Gloves-Winter-Knitted-Thermal/dp/B0CK5MSYNT/ref=zg_bs_g_apparel_d_sccl_7/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-67%,https://m.media-amazon.com/images/I/61hN3zqXubL._SX425_.jpg
apparel,Fitness Mantra® Gym Winter Cap & Muffler for Men & Women| Beanie Cap| 1 Set|,₹150.00,"('4.2 out of 5 stars', '137 ratings')",https://www.amazon.in/Fitness-Mantra%C2%AE-Winter-Muffler-Beanie/dp/B0D9PG6CQT/ref=zg_bs_g_apparel_d_sccl_8/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-70%,https://m.media-amazon.com/images/I/51iu3cuF7CL._SX569_.jpg
apparel,Pivl Cozy and Stylish Sweaters for Women | Winter Wear Cardigan,₹389.00,"('3.9 out of 5 stars', '640 ratings')",https://www.amazon.in/Pivl-Womens-Blended-Sweater-Cardigan/dp/B08R8HSQYN/ref=zg_bs_g_apparel_d_sccl_9/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,-74%,https://m.media-amazon.com/images/I/71ZxN4i3-oL._SY550_.jpg
apparel,ARKYLE Woolen Winter Socks for Men Thick Terry Towel Cushion Socks,₹219.00,"('4.2 out of 5 stars', '5')",https://www.amazon.in/ARKYLE-Length-Cotton-Socks-ARK-F-S1-4pk_Multicolour/dp/B07RSL1R5N/ref=zg_bs_g_apparel_d_sccl_10/257-6434182-2738106?psc=1,Amazon,RAVR India,-63%,https://m.media-amazon.com/images/I/91hIyGIagmL._SX569_.jpg
apparel,GoSriKi Women's Rayon Blend Anarkali Printed Kurta with Palazzo & Dupatta,₹799.00,"('3.8 out of 5 stars', '1')",https://www.amazon.in/GoSriKi-Anarkali-Printed-Dupatta-Yellow-GS_L_Yellow_Large/dp/B0DD75GDSL/ref=zg_bs_g_apparel_d_sccl_11/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,-69%,https://m.media-amazon.com/images/I/71mX4WATh-L._SX466_.jpg
apparel,BLACKSTEP Women's Casual Fleece Sherpa Fur Lined Hoodie Winter Warm Pullover Hooded Sweatshirt,₹799.00,"('4.1 out of 5 stars', '146 ratings')",https://www.amazon.in/BLACKSTEP-Womens-Casual-Pullover-Sweatshirt/dp/B0DFTSR2QF/ref=zg_bs_g_apparel_d_sccl_12/257-6434182-2738106?psc=1,Amazon,Lion Brow,-68%,https://m.media-amazon.com/images/I/41KeNECL1aL._SY500_.jpg
apparel,Alan Jones Clothing Women's Cotton Hooded Neck Sweatshirt,₹649.00,"('4.1 out of 5 stars', '14')",https://www.amazon.in/Alan-Jones-Clothing-Sweatshirt-WM17-SS01-WINE-L_Large_Wine/dp/B07V85QNDX/ref=zg_bs_g_apparel_d_sccl_13/257-6434182-2738106?psc=1,Amazon,Alan Jones Clothing®,-57%,https://m.media-amazon.com/images/I/71jA7cZEY-L._SY550_.jpg
