Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
beauty,Cetaphil Paraben,₹375.00,"('4.3 out of 5 stars', '24')",https://www.amazon.in/Cetaphil-Sulphate-Free-Hydrating-Niacinamide-Sensitive/dp/B01CCGW4OE/ref=zg_bs_g_beauty_d_sccl_1/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-6%,https://m.media-amazon.com/images/I/51O+J5jnXcL._SY355_.jpg
beauty,Parachute Advansed Deep Nourish Body Lotion for Women & Men,₹127.00,"('4.2 out of 5 stars', '53')",https://www.amazon.in/Parachute-Advansed-Body-Lotion-Nourish/dp/B00CBRJ34E/ref=zg_bs_g_beauty_d_sccl_2/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-62%,https://m.media-amazon.com/images/I/51atYFf5PZL._SY355_.jpg
beauty,Ghar Soaps Sandalwood & Saffron Magic Soaps For Bath (300 Gms Pack Of 3) | Paraben Free | Chandan & Kesar Bath Soap | Handmade Soaps For Glowing | Skin Brightening Soap For Men & Women,₹398.00,"('3.8 out of 5 stars', '2')",https://www.amazon.in/Sandalwood-Saffron-300-Handmade-Whitening/dp/B09S6M7JQJ/ref=zg_bs_g_beauty_d_sccl_3/262-1208522-7202516?psc=1,Amazon,yeh mera india,-73%,"https://m.media-amazon.com/images/I/71+gJPCAh7L._SY355_PIbundle-3,TopRight,0,0_AA355SH20_.jpg"
beauty,L'Oréal Paris Permanent Hair Colour,₹454.00,"('4.3 out of 5 stars', '20')",https://www.amazon.in/LOreal-Paris-Excellence-Natural-Darkest/dp/B006QHB88O/ref=zg_bs_g_beauty_d_sccl_4/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-35%,https://m.media-amazon.com/images/I/61wHkCENFtL._SY450_.jpg
beauty,Scalpe Pro Daily Anti-Dandruff Shampoo | Removes Dandruff From Source | Helps With Itching,₹150.00,"('4.1 out of 5 stars', '20')",https://www.amazon.in/Scalpe-Pro-Anti-dandruff-Shampoo-100ml/dp/B07Q7C4Q45/ref=zg_bs_g_beauty_d_sccl_5/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-25%,https://m.media-amazon.com/images/I/51zAMTMsOkL._SY355_.jpg
beauty,NIVEA Soft Light Moisturizer,₹357.50,"('4.4 out of 5 stars', '63')",https://www.amazon.in/Moisturizer-Non-Greasy-Vitamin-Instant-Hydration/dp/B00E96N6O8/ref=zg_bs_g_beauty_d_sccl_6/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-35%,https://m.media-amazon.com/images/I/51cXkIfVBtL._SY355_.jpg
beauty,The Derma Co 1% Hyaluronic Sunscreen SPF 50 Aqua Gel,₹258.00,"('4.2 out of 5 stars', '23')",https://www.amazon.in/Derma-Co-Hyaluronic-Lightweight-white-cast/dp/B0C6M3KHXV/ref=zg_bs_g_beauty_d_sccl_7/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-14%,https://m.media-amazon.com/images/I/41v1L8K+11L._SY355_.jpg
beauty,WishCare Hair Growth Serum Concentrate - 3% Redensyl,₹673.98,"('4.1 out of 5 stars', '6')",https://www.amazon.in/WishCare-Hair-Growth-Serum-Concentrate/dp/B0B573QW21/ref=zg_bs_g_beauty_d_sccl_8/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-33%,https://m.media-amazon.com/images/I/61PA2P4KDCL._SY355_.jpg
beauty,L'Oreal Paris Hyaluron Moisture 72HR Moisture Sealing Conditioner powered by Hyaluronic Acid,₹161.00,"('4.3 out of 5 stars', '11')",https://www.amazon.in/Paris-Moisture-Conditioner-Hyaluronic-Dehydrated/dp/B0B6Y3FNV7/ref=zg_bs_g_beauty_d_sccl_9/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-40%,https://m.media-amazon.com/images/I/418EwrvZQLL._SY355_.jpg
beauty,Dettol Liquid Handwash Refill – Skincare Hand Wash- 1350ml | pH Balanced | 10x Better Germ Protection,₹186.00,"('4.5 out of 5 stars', '49')",https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=zg_bs_g_beauty_d_sccl_10/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-11%,https://m.media-amazon.com/images/I/61ma04zYXpL._SY450_.jpg
beauty,Simple Kind To Skin Refreshing Face Wash 150 ml | 100% soap-free gentle cleanser for sensitive,₹319.00,"('4.3 out of 5 stars', '20')",https://www.amazon.in/Simple-Kind-Refreshing-Facial-Globalbeauty/dp/B000LQUA6M/ref=zg_bs_g_beauty_d_sccl_11/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-17%,https://m.media-amazon.com/images/I/51lV2Pem64L._SY355_.jpg
beauty,Garnier Skin Naturals,₹315.00,"('4.0 out of 5 stars', '35')",https://www.amazon.in/Garnier-Light-Complete-VITAMIN-Booster/dp/B08FTQXWC7/ref=zg_bs_g_beauty_d_sccl_12/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-49%,https://m.media-amazon.com/images/I/51wERqBeGLL._SY355_.jpg
beauty,L'Oreal Paris Hyaluron Moisture 72HR Moisture Filling Shampoo powered by Hyaluronic Acid,₹244.00,"('4.2 out of 5 stars', '9')",https://www.amazon.in/Paris-Moisture-Hyaluronic-Dehydrated-Hyaluron/dp/B0B6XQGXJW/ref=zg_bs_g_beauty_d_sccl_13/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-43%,https://m.media-amazon.com/images/I/41jr41E77ZL._SY355_.jpg
beauty,Bare Anatomy Anti Dandruff Shampoo | Reduces Up to 100% Dandruff and Strengthens Hair | Derma Approved Shampoo with Salicylic Acid & Biotin | Shampoo For All Hair types | For Women And Men | 250ml,₹479.00,"('4.1 out of 5 stars', '3')",https://www.amazon.in/Bare-Anatomy-Anti-Dandruff-Shampoo-Targets/dp/B0BJZXKH12/ref=zg_bs_g_beauty_d_sccl_14/262-1208522-7202516?psc=1,Amazon,RK World Infocom Pvt Ltd,-12%,https://m.media-amazon.com/images/I/51QuF+V4vkL._SY355_.jpg
