Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
electronics,Redmi 13C 5G (Starlight Black,"₹9,099.00","('3.9 out of 5 stars', '11')",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=zg_bs_g_electronics_d_sccl_1/257-6434182-2738106?psc=1,Amazon,Darshita Mobiles,-35%,https://m.media-amazon.com/images/I/81nMsYgIHdL._SX679_.jpg
electronics,Redmi A4 5G (Sparkle Purple,"₹9,498.00","('4.3 out of 5 stars', '239 ratings')",https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=zg_bs_g_electronics_d_sccl_2/257-6434182-2738106?psc=1,Amazon,Darshita Mobiles,-21%,https://m.media-amazon.com/images/I/81XmCGfKlWL._SX425_.jpg
electronics,boAt [New Launch] Airdopes 91 Prime,₹798.00,"('3.6 out of 5 stars', '4 ratings')",https://www.amazon.in/boAt-Airdopes-91-Prime-Bluetooth/dp/B0DPWL48Z5/ref=zg_bs_g_electronics_d_sccl_3/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-80%,https://m.media-amazon.com/images/I/713Lr2oNWaL._SY355_.jpg
electronics,Apple 20W USB-C Power Adapter (for iPhone,"₹1,549.00","('4.3 out of 5 stars', '2')",https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B09794YHBS/ref=zg_bs_g_electronics_d_sccl_4/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-18%,https://m.media-amazon.com/images/I/21rFLTV3tML.jpg
electronics,boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),₹329.00,"('4.1 out of 5 stars', '410')",https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=zg_bs_g_electronics_d_sccl_5/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-67%,https://m.media-amazon.com/images/I/513ugd16C6L._SY355_.jpg
electronics,boAt Rockerz 255 Pro+,"₹1,049.00","('4.0 out of 5 stars', '204')",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=zg_bs_g_electronics_d_sccl_6/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-74%,https://m.media-amazon.com/images/I/61+SW9nDTEL._SY355_.jpg
electronics,realme NARZO N61 (Voyage Blue,"₹7,498.00","('4.0 out of 5 stars', '1')",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=zg_bs_g_electronics_d_sccl_7/257-6434182-2738106?psc=1,Amazon,Darshita Etel,-17%,https://m.media-amazon.com/images/I/71r0Ysx+oVL._SX679_.jpg
electronics,Redmi A4 5G (Starry Black,"₹9,498.00","('4.3 out of 5 stars', '239 ratings')",https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW4QD72/ref=zg_bs_g_electronics_d_sccl_8/257-6434182-2738106?psc=1,Amazon,Darshita Mobiles,-21%,https://m.media-amazon.com/images/I/71qblDCyONL._SX425_.jpg
electronics,realme Buds 2 Wired in Ear Earphones with Mic (Black),₹599.00,"('4.1 out of 5 stars', '181')",https://www.amazon.in/Realme-Buds-Android-Smartphones-Black/dp/B07XMFDHSG/ref=zg_bs_g_electronics_d_sccl_10/257-6434182-2738106?psc=1,Amazon,Cocoblu Retail,-25%,https://m.media-amazon.com/images/I/61BYFuHb7lL._SY355_.jpg
electronics,boAt Rockerz 255 Z Plus,₹999.00,"('4.3 out of 5 stars', '146')",https://www.amazon.in/boAt-Rockerz-255-Plus-Bluetooth/dp/B0D6Y7Y3N3/ref=zg_bs_g_electronics_d_sccl_11/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-78%,https://m.media-amazon.com/images/I/61vaxn5X09L._SY355_.jpg
