Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
home-improvement,rts Universal Travel Adapter,₹589.00,"('4.2 out of 5 stars', '12')",https://www.amazon.in/rts-Universal-Adapter-International-Worldwide/dp/B082WYMTWF/ref=zg_bs_g_home-improvement_d_sccl_1/257-6434182-2738106?psc=1,Amazon,Radhe Techno Service,-88%,https://m.media-amazon.com/images/I/611RCy1XjsL._SY606_.jpg
home-improvement,Scotch-Brite Rubber Heavy Duty Hand gloves for Dishwashing,₹129.00,"('4.0 out of 5 stars', '34')",https://www.amazon.in/Scotch-Brite-Heavy-Duty-Gloves-Medium/dp/B00NBM0WD4/ref=zg_bs_g_home-improvement_d_sccl_2/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-24%,https://m.media-amazon.com/images/I/61JDg6pGGJL._SX425_.jpg
home-improvement,Portronics Power Plate 10 Extension Board with 4 Universal Sockets,₹299.00,"('4.3 out of 5 stars', '24')",https://www.amazon.in/Portronics-Converter-Sockets-Protection-Intelligent/dp/B0B2WQFHB2/ref=zg_bs_g_home-improvement_d_sccl_3/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-57%,https://m.media-amazon.com/images/I/517A8JGGlsL._SX425_.jpg
home-improvement,Scotch-Brite 2-in-1 Bucket Spin Mop (Green,"₹1,089.00","('4.2 out of 5 stars', '48')",https://www.amazon.in/Scotch-Brite-Bucket-Spin-Green-Refills/dp/B07LDKFM2Y/ref=zg_bs_g_home-improvement_d_sccl_4/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-40%,https://m.media-amazon.com/images/I/61ITlnte9uL._SX425_.jpg
home-improvement,GM 3060 E-Book 4 + 1 Power Strip Red & White Color 250 Volts with Master Switch,₹429.00,"('4.5 out of 5 stars', '61')",https://www.amazon.in/GM-Modular-3060-Book-Multicolour/dp/B008XT42JU/ref=zg_bs_g_home-improvement_d_sccl_5/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-34%,https://m.media-amazon.com/images/I/519RgXY+lRL._SX355_.jpg
home-improvement,Scotch-Brite Latex Aloe Vera Coated Gloves,₹178.00,"('4.4 out of 5 stars', '350 ratings')",https://www.amazon.in/Scotch-Brite-comfortable-anti-slip-dishwashing-gardening/dp/B0CYTFJYPB/ref=zg_bs_g_home-improvement_d_sccl_6/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-6%,https://m.media-amazon.com/images/I/516IL3HP6wL._SX425_.jpg
home-improvement,Presto! Elite Spin Mop with Steel Wringer and Auto-Fold Handle,"₹1,049.00","('4.0 out of 5 stars', '2')",https://www.amazon.in/Presto-Wringer-Auto-Fold-Handle-Refills/dp/B0D54HYJGQ/ref=zg_bs_g_home-improvement_d_sccl_7/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-51%,https://m.media-amazon.com/images/I/61WCSrI30QL._SX425_.jpg
home-improvement,Spotzero by Milton Prime Stainless Steel Wringer Spin Mop with Big Wheel,"₹1,398.00","('4.2 out of 5 stars', '92')",https://www.amazon.in/Spotzero-Milton-Stainless-Wringer-refills/dp/B07D4T4YT2/ref=zg_bs_g_home-improvement_d_sccl_8/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-53%,https://m.media-amazon.com/images/I/71RAA5qZoGL._SX425_.jpg
home-improvement,Plantex Self Adhesive Bathroom Shelf for Wall/Shelf Organizer/Kitchen Shelf with Magic Stickers - Pack of 1 (Black,₹399.00,"('4.1 out of 5 stars', '7')",https://www.amazon.in/Plantex-Self-Adhesive-Multipurpose-Bathroom-Accessories/dp/B0B3J7Q14R/ref=zg_bs_g_home-improvement_d_sccl_9/257-6434182-2738106?psc=1,Amazon,Plantex India,-55%,https://m.media-amazon.com/images/I/81fzp1uOldL._SX425_.jpg
home-improvement,Scotch-Brite Sponge Wipe Resusable Kitchen Cleaning Sponge- Easy to use,₹195.00,"('4.4 out of 5 stars', '19')",https://www.amazon.in/Scotch-Brite-Sponge-Wipe-Pack-Color/dp/B00NBLZ3QQ/ref=zg_bs_g_home-improvement_d_sccl_10/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,,https://m.media-amazon.com/images/I/712IgUo8fjL._SX425_.jpg
home-improvement,JIALTO 2 Pcs Aluminium Heavy Duty Self Adhesive Bathroom Accessories Set Bathroom Kitchen Shelf Rack,₹699.00,"('4.0 out of 5 stars', '1')",https://www.amazon.in/JIALTO-Aluminum-Wall-Mounted-Multifunctional/dp/B0CKPBBFS2/ref=zg_bs_g_home-improvement_d_sccl_11/257-6434182-2738106?psc=1,Amazon,ETrade Online,-46%,https://m.media-amazon.com/images/I/81KxyNYbu1L._SX425_.jpg
home-improvement,ANCHOR 6A 3 Pin Multi Plug Socket Travel Adapter with Universal Socket,₹128.00,"('4.5 out of 5 stars', '10')",https://www.amazon.in/Panasonic-6A-Multiplug-Universal-22841-Pk1/dp/B07FZ18FMF/ref=zg_bs_g_home-improvement_d_sccl_12/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-22%,https://m.media-amazon.com/images/I/51JON7XePEL._SX425_.jpg
home-improvement,Konquer TimeS KTS Automatic Wireless Water Can Dispenser Pump for 20 Litre Bottle Can,₹389.00,"('3.9 out of 5 stars', '22')",https://www.amazon.in/Konquer-TimeS-Automatic-Wireless-Dispenser/dp/B07YZ367F6/ref=zg_bs_g_home-improvement_d_sccl_13/257-6434182-2738106?psc=1,Amazon,K. T. S,-61%,https://m.media-amazon.com/images/I/61+gvsVCj0L._SX425_.jpg
home-improvement,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),₹399.00,"('4.2 out of 5 stars', '16')",https://www.amazon.in/Scotch-Brite-IE840159255-Bathroom-Squeegee-Wiper/dp/B00NBM3IE4/ref=zg_bs_g_home-improvement_d_sccl_14/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-11%,https://m.media-amazon.com/images/I/51HsBCtnWNL._SX425_.jpg
home-improvement,Solitude 20 Pcs PVC Heavy Duty Self Adhesive Stainless Hooks,₹199.00,"('4.7 out of 5 stars', '701 ratings')",https://www.amazon.in/Solitude-20-Transparent-Waterproof-Improvement/dp/B0CXP9PTNR/ref=zg_bs_g_home-improvement_d_sccl_15/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-60%,https://m.media-amazon.com/images/I/5123iFqB-QL._SX425_.jpg
home-improvement,Scotch-Brite Sponge Wipe Resusable Kitchen Cleaning foam Cellulose wood Sponge- Easy to use,₹319.00,"('4.5 out of 5 stars', '23')",https://www.amazon.in/Scotch-Brite-Sponge-Wipe-5-Pcs/dp/B016VXORNA/ref=zg_bs_g_home-improvement_d_sccl_16/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-5%,https://m.media-amazon.com/images/I/71XdLLUEo9L._SX425_.jpg
home-improvement,Hallstatt 2024 Upgraded Long Handle Microfiber Feather Ceiling Duster For Dust Cleaning Extendable Pole 30-100 Inch For Cleaning High Cobweb Stick High Ceiling Fan - Stainless Steel,₹289.00,"('3.9 out of 5 stars', '2')",https://www.amazon.in/Microfiber-Feather-Ceiling-Duster-extendable/dp/B0C7CYBGMX/ref=zg_bs_g_home-improvement_d_sccl_17/257-6434182-2738106?psc=1,Amazon,RAIYARAJ ENTERPRISE™®,-71%,https://m.media-amazon.com/images/I/614BSL5MO9L._SY450_.jpg
home-improvement,SMTG Door Guard (39 Inches,₹209.00,"('4.2 out of 5 stars', '495 ratings')",https://www.amazon.in/SMTG-Guard-Inches-Filler-Bottom/dp/B0D4JCXK9D/ref=zg_bs_g_home-improvement_d_sccl_18/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-74%,https://m.media-amazon.com/images/I/51Em8FCsrHL._SX425_.jpg
home-improvement,Marcoware Stainless Steel Heavy Duty Health Faucet,₹380.00,"('4.0 out of 5 stars', '8')",https://www.amazon.in/Marcoware-Stainless-Health-Faucet-Brushed/dp/B08Y5NNY88/ref=zg_bs_g_home-improvement_d_sccl_19/257-6434182-2738106?psc=1,Amazon,Ind B,-70%,https://m.media-amazon.com/images/I/416CQUogeWL._SX425_.jpg
home-improvement,Scotch-Brite No-Dust Broom,₹277.00,"('4.0 out of 5 stars', '37')",https://www.amazon.in/Scotch-Brite-Broom-Fibre-Green/dp/B07LC7LF9Y/ref=zg_bs_g_home-improvement_d_sccl_20/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-26%,https://m.media-amazon.com/images/I/611JToXX49L._SX425_.jpg
home-improvement,HUSB® Gloves Magic Silicone Dish Washing Gloves,₹299.00,"('4.1 out of 5 stars', '5')",https://www.amazon.in/HUSB-Silicone-Cleaning-Dishwashing-Multicolour/dp/B092J6Q41C/ref=zg_bs_g_home-improvement_d_sccl_21/257-6434182-2738106?psc=1,Amazon,HUSB®,-70%,https://m.media-amazon.com/images/I/71IprF2W5JL._SY450_.jpg
home-improvement,Chillyfit Wall Hooks for Hanging Strong,₹184.00,"('4.0 out of 5 stars', '18')",https://www.amazon.in/Chillyfit-Adhesive-hangings-Kitchen-Accessories/dp/B09HHQ1S5K/ref=zg_bs_g_home-improvement_d_sccl_22/257-6434182-2738106?psc=1,Amazon,ARAWAZA - More Value to More People,-86%,https://m.media-amazon.com/images/I/61V5fHBTQ6L._SX425_.jpg
home-improvement,JIALTO Plastic Wall Mounted Double Layers Soap Dish Saver with Drain Tray,₹298.00,"('4.2 out of 5 stars', '2')",https://www.amazon.in/Plastic-Adhesive-No-Drilling-Bathroom-Accessories/dp/B08Y5TH6X3/ref=zg_bs_g_home-improvement_d_sccl_23/257-6434182-2738106?psc=1,Amazon,ETrade Online,-70%,https://m.media-amazon.com/images/I/61KtJeVf4GL._SX425_.jpg
home-improvement,Sounce Spiral Cable Protector,₹99.00,"('4.2 out of 5 stars', '2')",https://www.amazon.in/Sounce-Protector-Chargers-Protective-Headphone/dp/B0CLV4XQFK/ref=zg_bs_g_home-improvement_d_sccl_24/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-80%,https://m.media-amazon.com/images/I/81JYSIagq5L._SY355_.jpg
home-improvement,Gala Double Lip Wiper (Multicolour),₹219.00,"('3.9 out of 5 stars', '8')",https://www.amazon.in/Gala-Double-Lip-Wiper-Multicolour/dp/B01LWQD7WL/ref=zg_bs_g_home-improvement_d_sccl_25/257-6434182-2738106?psc=1,Amazon,,-11%,https://m.media-amazon.com/images/I/71X-D9LphsL._SX425_.jpg
home-improvement,Orei USA to India Converter Plug,₹389.00,"('4.3 out of 5 stars', '13')",https://www.amazon.in/Grounded-Universal-Adapter-India-Africa/dp/B005JK5O3O/ref=zg_bs_g_home-improvement_d_sccl_26/257-6434182-2738106?psc=1,Amazon,Fayz Electronics,-61%,https://m.media-amazon.com/images/I/61CuT0xcHpL._SY355_.jpg
home-improvement,WaterScience CLEO Hard Water Softener for Tap and Shower | Shower Filter for Bathroom | Hard Water Filter for Tap | for Borewell/Tanker Water - CLEO-SFU-423,"₹1,345.00","('3.5 out of 5 stars', '3')",https://www.amazon.in/WaterScience-CLEO-Shower-Softener-Bathroom/dp/B0CKFBHMCD/ref=zg_bs_g_home-improvement_d_sccl_27/257-6434182-2738106?psc=1,Amazon,WaterScience Store,-41%,https://m.media-amazon.com/images/I/61yjdaiVZVL._SX425_.jpg
home-improvement,Anchor by Panasonic Wireless Doorbell | 45 Melodies Calling Bell for Home,₹698.00,"('3.9 out of 5 stars', '3')",https://www.amazon.in/Panasonic-Waterproof-Doorbell-Operating-Melodies/dp/B0824BZGH9/ref=zg_bs_g_home-improvement_d_sccl_28/257-6434182-2738106?psc=1,Amazon,,-21%,https://m.media-amazon.com/images/I/51XGcwwG8qL._SX425_.jpg
home-improvement,Scotch-Brite Scrub 5 Pad (Green),₹68.00,"('4.4 out of 5 stars', '8')",https://www.amazon.in/Scotch-Brite-Non-Woven-Scrub-Pad-Green/dp/B07H4YJLP4/ref=zg_bs_g_home-improvement_d_sccl_29/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-9%,https://m.media-amazon.com/images/I/81ulmTzK3oL._SX425_.jpg
home-improvement,FREEMANS IKON 5m:19mm Steel Inchi Measuring Tape - 5m (Yellow & Black) With Unbreakable ABS case || Soft Grip Bi-material Case || Auto-lock and Belt Clip,₹103.00,"('4.4 out of 5 stars', '9')",https://www.amazon.in/FREEMANS-IKON-5m-Unbreakable-Bi-material/dp/B010M5GQ78/ref=zg_bs_g_home-improvement_d_sccl_30/257-6434182-2738106?psc=1,Amazon,Starshot Tools,-44%,https://m.media-amazon.com/images/I/71sPu-E7AJL._SX466_.jpg
