Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
hpc,Jackfruit365 Green Jackfruit Flour-Helps Control Sugar- 400g,₹280.00,"('4.1 out of 5 stars', '12')",https://www.amazon.in/Eastern-Jackfruit365-Green-Jackfruit-Flour/dp/B08BXWVKJJ/ref=zg_bs_g_hpc_d_sccl_1/261-3637568-6839023?psc=1,Amazon,Diet Fibre 365 Food Products,,https://m.media-amazon.com/images/I/81JDhW21EFL._SY550_.jpg
hpc,Tide Plus Detergent Washing Powder - 6kg+2kg free | Jasmine & Rose Fragrance | Removes deep-seated Oil,₹735.00,"('4.3 out of 5 stars', '29')",https://www.amazon.in/Tide-Extra-Detergent-Washing-Powder/dp/B079QBSYSX/ref=zg_bs_g_hpc_d_sccl_2/261-3637568-6839023?psc=1,Amazon,RK World Infocom Pvt Ltd,-28%,https://m.media-amazon.com/images/I/61dLTD5YNSL._SY342_.jpg
hpc,Surf Excel Matic Top Load Liquid Detergent 4L Refill Pouch,₹590.00,"('4.5 out of 5 stars', '4')",https://www.amazon.in/Surf-Excel-Detergent-Specially-designed/dp/B0CKW4VGLK/ref=zg_bs_g_hpc_d_sccl_3/261-3637568-6839023?psc=1,Amazon,RK World Infocom Pvt Ltd,-24%,https://m.media-amazon.com/images/I/51-R1pQ1rjL._SY450_.jpg
hpc,Amazon Brand - Presto! 2 Ply Kitchen Tissue Rolls | 360 Pulls | 60 Kitchen Towels X 6 Rolls | Soft And Highly Absorbent | 100% Natural Virgin Cellulose Fiber,₹329.00,"('4.4 out of 5 stars', '29')",https://www.amazon.in/Amazon-Brand-Presto-Kitchen-Tissue/dp/B07GVVCQY6/ref=zg_bs_g_hpc_d_sccl_4/261-3637568-6839023?psc=1,Amazon,,-22%,"https://m.media-amazon.com/images/I/810kJ62hQQL._SX450_PIbundle-6,TopRight,0,0_SX450SY378SH20_.jpg"
hpc,Comfort After Wash Morning Fresh Fabric Conditioner Pouch,₹333.00,"('4.5 out of 5 stars', '64')",https://www.amazon.in/Comfort-After-Morning-Fabric-Conditioner/dp/B07F8H9NYY/ref=zg_bs_g_hpc_d_sccl_5/261-3637568-6839023?psc=1,Amazon,RK World Infocom Pvt Ltd,-31%,https://m.media-amazon.com/images/I/81hjfHDwDXL._SY450_.jpg
hpc,Dettol Liquid Handwash Refill – Skincare Hand Wash- 1350ml | pH Balanced | 10x Better Germ Protection,₹186.00,"('4.3 out of 5 stars', '1')",https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=zg_bs_g_hpc_d_sccl_7/261-3637568-6839023?psc=1,Amazon,RK World Infocom Pvt Ltd,-11%,https://m.media-amazon.com/images/I/61ma04zYXpL._SY450_.jpg
hpc,Ariel Liquid Detergent Front Load - 3.2L | Removes 7 day dried-in Stains in 1 wash inside Washing Machine | Now at Price of Powders | Amazing Fragrance | Protects Colours | Dissolves Faster,₹554.00,"('4.5 out of 5 stars', '49')",https://www.amazon.in/Ariel-Front-Liquid-Detergent-3-2Ltr/dp/B0CBBSWLW4/ref=zg_bs_g_hpc_d_sccl_8/261-3637568-6839023?psc=1,Amazon,RK World Infocom Pvt Ltd,-28%,https://m.media-amazon.com/images/I/719xruOfSNL._SY450_.jpg
hpc,Wellcore - Pure Micronised Creatine Monohydrate (Fruit Fusion,₹539.00,"('4.4 out of 5 stars', '4')",https://www.amazon.in/Wellcore-Micronised-Creatine-Monohydrate-Absorption/dp/B0D9BPK1NV/ref=zg_bs_g_hpc_d_sccl_9/261-3637568-6839023?psc=1,Amazon,Wellversed Health,-28%,https://m.media-amazon.com/images/I/71wLbVnsgSL._SY450_.jpg
hpc,Genteel Matic Liquid Detergent Refill Pouch for Top load Washing - 2kg | No Soda Formula | with Added Fabric Conditioner,₹249.00,"('4.3 out of 5 stars', '5')",https://www.amazon.in/Godrej-Genteel-Liquid-Detergent-Refill/dp/B07ZZD6XL1/ref=zg_bs_g_hpc_d_sccl_10/261-3637568-6839023?psc=1,Amazon,,,https://m.media-amazon.com/images/I/61B304RHorL._SY450_.jpg
hpc,Vim Fresh Lemon Fragrance Dishwash Liquid Gel 2L Refill Pack|| Leaves No Residue|| Grease Cleaner For Utensils - Liquid Kitchen Soap Super Saver Offer,₹340.00,"('4.3 out of 5 stars', '17')",https://www.amazon.in/VIM-Dishwash-Liquid-Lemon-Refill/dp/B08CNMBJZ7/ref=zg_bs_g_hpc_d_sccl_11/261-3637568-6839023?psc=1,Amazon,,,https://m.media-amazon.com/images/I/610DprJKeRL._SY450_.jpg
