Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
kitchen,Orient Electric Areva Portable Room Heater | 2000W | Two Heating Modes | Advanced Overheat Protection | Horizontal & Vertical Mount | 1-year replacement warranty by Orient | White,"₹1,499.00","('4.0 out of 5 stars', '5')",https://www.amazon.in/Orient-Electric-Areva-Adjustable-Thermostat/dp/B083973WX4/ref=zg_bs_g_kitchen_d_sccl_1/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-62%,https://m.media-amazon.com/images/I/71QfC+NELFL._SX425_.jpg
kitchen,Amazon Brand - Presto! Garbage Bags Medium 180 Count|19 x 21 inches Black ,₹326.00,"('4.4 out of 5 stars', '48')",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=zg_bs_g_kitchen_d_sccl_2/257-6434182-2738106?psc=1,Amazon,,-32%,https://m.media-amazon.com/images/I/71IB+2LNNBL._SY450_.jpg
kitchen,One94Store 3D Deer Crystal Globe Lamp Creative Engraved Crystal Ball Night Light USB Table LED Wooden Crystal Ball for Home Office Decoration Birthday Gift Adults (Deer 6cm)(Warm White),₹299.00,"('4.0 out of 5 stars', '653 ratings')",https://www.amazon.in/One94Store-Creative-Engraved-Decoration-Birthday/dp/B0D9XP8FDD/ref=zg_bs_g_kitchen_d_sccl_3/257-6434182-2738106?psc=1,Amazon,X4Cart,-70%,https://m.media-amazon.com/images/I/61vihvwHdBL._SX342_.jpg
kitchen,Orpat OEH-1220 2000-Watt Fan Heater (White),"₹1,249.00","('4.1 out of 5 stars', '52')",https://www.amazon.in/Orpat-OEH-1220-2000-Watt-Heater-White/dp/B00B7GHQQW/ref=zg_bs_g_kitchen_d_sccl_4/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-4%,https://m.media-amazon.com/images/I/81Pm1MEvURL._SX425_.jpg
kitchen,ATOM Digital Kitchen Food Weighing Scale For Healthy Living,₹199.00,"('3.9 out of 5 stars', '6')",https://www.amazon.in/Weighing-Balanced-Batteries-Included-A121/dp/B083C6XMKQ/ref=zg_bs_g_kitchen_d_sccl_5/257-6434182-2738106?psc=1,Amazon,Clicktech Retail Private Ltd,-67%,https://m.media-amazon.com/images/I/51Jp1JZdU-L._SX342_.jpg
kitchen,Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,₹159.00,"('4.2 out of 5 stars', '34')",https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q/ref=zg_bs_g_kitchen_d_sccl_6/257-6434182-2738106?psc=1,Amazon,ETrade Online,-18%,https://m.media-amazon.com/images/I/71erHCKJ3WL._SX425_.jpg
kitchen,AGARO Elite Lint Remover With Power Cord for Woollen Sweaters,₹379.00,"('4.3 out of 5 stars', '3')",https://www.amazon.in/AGARO-Remover-Sweaters-Blankets-Curtains/dp/B0D2TS9MD3/ref=zg_bs_g_kitchen_d_sccl_7/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-46%,https://m.media-amazon.com/images/I/712Rc9YYmCL._SX425_.jpg
kitchen,Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body,₹599.00,"('3.9 out of 5 stars', '160')",https://www.amazon.in/Pigeon-Electric-Stainless-Shut-off-Feature/dp/B07WMS7TWB/ref=zg_bs_g_kitchen_d_sccl_8/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-46%,https://m.media-amazon.com/images/I/51DGcy8eBCL._SX425_.jpg
kitchen,Zulaxy Photo Frame Hooks for Wall Without Drilling,₹274.00,"('3.8 out of 5 stars', '8')",https://www.amazon.in/Zulaxy-Drilling-Adhesive-Transparent-Stainless/dp/B0CCM8L54V/ref=zg_bs_g_kitchen_d_sccl_9/257-6434182-2738106?psc=1,Amazon,Emarat Impex,-79%,https://m.media-amazon.com/images/I/61uaI9IfRUL._SX425_.jpg
kitchen,MILTON Aura 1000 Thermosteel Bottle,₹932.00,"('4.3 out of 5 stars', '2')",https://www.amazon.in/Milton-Thermosteel-Bottle-Kitchen-Trekking/dp/B0B4RX7ZXK/ref=zg_bs_g_kitchen_d_sccl_10/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-20%,https://m.media-amazon.com/images/I/51-NKrTs99L._SX425_.jpg
kitchen,Milton Thermosteel Flip Lid Flask,₹964.00,"('4.2 out of 5 stars', '146')",https://www.amazon.in/Milton-Thermosteel-Flask-milliliters-Silver/dp/B00MIYM0VS/ref=zg_bs_g_kitchen_d_sccl_11/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-20%,https://m.media-amazon.com/images/I/81jAcDybJPL._SX425_.jpg
kitchen,"Wakefit 100% Waterproof Premium Cotton Mattress Protector | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector 78""x72"" - King","₹1,048.00","('4.3 out of 5 stars', '104')",https://www.amazon.in/Wakefit-Waterproof-Protector-Breathable-Hypoallergenic/dp/B0C1S894S3/ref=zg_bs_g_kitchen_d_sccl_12/257-6434182-2738106?psc=1,Amazon,Wakefit Innovations Pvt Ltd,-31%,https://m.media-amazon.com/images/I/61sRf7oDELL._SX425_.jpg
kitchen,Indian Karigar Santa Cap Plush Fur Christmas Cap Unisex Santa Hat for Adult & Kids Comfortable Soft Free Size Santa Clause Hat Cap Christmas Decorations Items Christmas Decor Santa Caps Set of 1 Red,₹179.00,"('3.9 out of 5 stars', '148 ratings')",https://www.amazon.in/Indian-Karigar-Santa-Cap-Comfortable/dp/B0BMQ4SPGN/ref=zg_bs_g_kitchen_d_sccl_13/257-6434182-2738106?psc=1,Amazon,ETrade Online,-64%,https://m.media-amazon.com/images/I/61w+c4AblWL._SX425_.jpg
kitchen,Amazon Brand - Presto! Garbage Bags Large 90 Count|24 x 32 Inches Black ,₹325.00,"('4.3 out of 5 stars', '14')",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=zg_bs_g_kitchen_d_sccl_14/257-6434182-2738106?psc=1,Amazon,,-32%,"https://m.media-amazon.com/images/I/71TZMvymzgL._SY450_PIbundle-6,TopRight,0,0_AA450SH20_.jpg"
kitchen,Amazon Brand - Solimo 2000/1000 Watts Room Heater with Adjustable Thermostat (ISI certified,"₹1,049.00","('3.9 out of 5 stars', '26')",https://www.amazon.in/Amazon-Brand-Solimo-2000-Watt-certified/dp/B07VX71FZP/ref=zg_bs_g_kitchen_d_sccl_15/257-6434182-2738106?psc=1,Amazon,RetailEZ Pvt Ltd,-48%,https://m.media-amazon.com/images/I/410ZRlkc6AL.jpg
kitchen,Homestrap Set of 6 Non-Woven Printed Saree Cover/Cloth Storage/Wardrobe Organizer For Clothes with Transparent Window (Grey)(Shark Tank Featured) 45cmx33cmx22cm,₹349.00,"('4.0 out of 5 stars', '14')",https://www.amazon.in/Homestrap-Non-Woven-Organizer-Transparent-Featured/dp/B08LQRXXNB/ref=zg_bs_g_kitchen_d_sccl_16/257-6434182-2738106?psc=1,Amazon,HomeStrap,-46%,https://m.media-amazon.com/images/I/71zjvUApaRL._SX425_.jpg
kitchen,The Purple Tree Christmas Reindeer LED Curtain Lights -2.5 M (Pack of 1) Warm White,₹549.00,"('4.1 out of 5 stars', '13')",https://www.amazon.in/Purple-Tree-Christmas-Reindeer-Curtain/dp/B09HY1LWTF/ref=zg_bs_g_kitchen_d_sccl_17/257-6434182-2738106?psc=1,Amazon,The Purple Tree,-58%,https://m.media-amazon.com/images/I/51M+quNX+tL._SX342_.jpg
