Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
office,JK Copier Paper 75GSM A4,₹373.00,"('4.2 out of 5 stars', '16')",https://www.amazon.in/JK-Copier-Paper-Sheets-Ream/dp/B00MVV81MK/ref=zg_bs_g_office_d_sccl_1/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-3%,https://m.media-amazon.com/images/I/71zVXMYBoGL._SX355_.jpg
office,DOODLE | 2025 A5 Productivity Planner Kit | Undated | Hard Bound |288 Pages |12 Monthly Planners + Pocket Meal Planner + 200+ Stickers + Motivational Quote Cards + Tear Away Bookmarks l Activity Tracker l Monthly Review Pages l to do Lists [Big Thoughts],₹499.00,"('4.4 out of 5 stars', '973 ratings')",https://www.amazon.in/DOODLE-Productivity-Planners-Motivational-Bookmarks/dp/B0CJ98HPLT/ref=zg_bs_g_office_d_sccl_2/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-50%,https://m.media-amazon.com/images/I/71mCFnOgkNL._SY450_.jpg
office,DOODLE Initial A Premium Soft Bound Notebook Diary for Girls and Women (B6,₹299.00,"('4.3 out of 5 stars', '5')",https://www.amazon.in/doodle-WRITING-Initial-lasercut-Notebook/dp/B07DL9VPKV/ref=zg_bs_g_office_d_sccl_3/259-2455747-6887540?psc=1,Amazon,Doodle Collection Pvt Ltd,-33%,https://m.media-amazon.com/images/I/71CENBiXFrL._SY355_.jpg
office,Scotch 3M Scotch Extreme Double Sided Tape,₹214.00,"('3.8 out of 5 stars', '4')",https://www.amazon.in/Scotch-Extreme-Surfaces-Resistant-Interior/dp/B0BZ3WNQ5T/ref=zg_bs_g_office_d_sccl_4/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-5%,https://m.media-amazon.com/images/I/615+2PTw6ML._SX342_.jpg
office,FLAIR Move Gel Pen | Minimalistic & Aesthetic Matt Finish Pastel Body Colors | Effortless Writing With Sleek Clip Design | Blue Ink,₹100.00,"('4.3 out of 5 stars', '146 ratings')",https://www.amazon.in/FLAIR-Minimalistic-Aesthetic-Effortless-Writing/dp/B0D816QSDV/ref=zg_bs_g_office_d_sccl_5/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,Not Available,https://m.media-amazon.com/images/I/51GIeLAOF1L._SY355_.jpg
office,Doodle | The Happiness 2025 Wiro Bound Planner with 100+ Stickers | A5 | Hard Bound | Undated | Yearly,₹360.26,"('4.4 out of 5 stars', '1')",https://www.amazon.in/Happiness-Planner-Stickers-Undated-Activity/dp/B0CF55DVXJ/ref=zg_bs_g_office_d_sccl_6/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-55%,https://m.media-amazon.com/images/I/81hWGGFJXOL._SY450_.jpg
office,JK Easy Copier Paper | A4 Size | 70 GSM | 500 Sheets | White Paper,₹348.00,"('4.2 out of 5 stars', '10')",https://www.amazon.in/JK-Easy-Copier-Paper-Sheets/dp/B00MVV9NUY/ref=zg_bs_g_office_d_sccl_7/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-2%,https://m.media-amazon.com/images/I/61PqgKG8LiL._SX355_.jpg
office,COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,₹199.00,"('4.1 out of 5 stars', '12')",https://www.amazon.in/COI-Sticky-Notes-Holder-Gifting/dp/B00UGZWM2I/ref=zg_bs_g_office_d_sccl_8/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-75%,https://m.media-amazon.com/images/I/41oLhpKArFL._SX355_.jpg
office,Solimo Expanding File Folder with 13 Pockets,₹299.00,"('4.1 out of 5 stars', '1')",https://www.amazon.in/Amazon-Brand-Expanding-Pockets-Documents/dp/B0C9M97BZJ/ref=zg_bs_g_office_d_sccl_9/259-2455747-6887540?psc=1,Amazon,Clicktech Retail Private Ltd,-63%,https://m.media-amazon.com/images/I/61aSb1IMsdL._SY355_.jpg
office,Scotch Double Sided Tape by 3M (1m holds 4.5Kgs) for indoor hanging applications (Photo frames,₹164.00,"('3.9 out of 5 stars', '22')",https://www.amazon.in/Scotch-Double-Foam-Tape-24/dp/B00N1U9AJS/ref=zg_bs_g_office_d_sccl_10/259-2455747-6887540?psc=1,Amazon,Cocoblu Retail,-9%,https://m.media-amazon.com/images/I/61VTFqRIiLL._SY355_.jpg
