Category,Product Name,Price,Rating,Link,Ships From,Sold By,Discount,Image URL
sports,Fitness Mantra® Gym Winter Cap & Muffler for Men & Women| Beanie Cap| 1 Set|,₹150.00,"('4.2 out of 5 stars', '137 ratings')",https://www.amazon.in/Fitness-Mantra%C2%AE-Winter-Muffler-Beanie/dp/B0D9PG6CQT/ref=zg_bs_g_sports_d_sccl_1/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-70%,https://m.media-amazon.com/images/I/51iu3cuF7CL._SX569_.jpg
sports,Lifelong PVC Hex Dumbbells Pack of 2 (5kg*2) Black Color for Home Gym Equipment Fitness Barbell|Gym Exercise|Home Workout,₹509.00,"('3.9 out of 5 stars', '13')",https://www.amazon.in/Lifelong-Dumbbells-Equipment-Exercise-Warranty/dp/B09W5PSTBP/ref=zg_bs_g_sports_d_sccl_2/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-49%,https://m.media-amazon.com/images/I/710SxepIfiL._SX425_.jpg
sports,Fitness Mantra® Beanie Cap & Muffler for Men & Women| Beanie Cap| Woolen Topaa| Winter Cap| Head & Neck Warmer| Black Color| 1 Set|,₹150.00,"('3.9 out of 5 stars', '557 ratings')",https://www.amazon.in/Fitness-Mantra%C2%AE-Beanie-Muffler-Woolen/dp/B0CQPBKLGZ/ref=zg_bs_g_sports_d_sccl_3/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-70%,https://m.media-amazon.com/images/I/51iu3cuF7CL._SX425_.jpg
sports,Boldfit Woolen Winter Cap for Men Woolen Cap for Women & Men in Winter for Thermal Wear Stylish Soft Winter Caps for Boys & Girls for Warm Wear Head Winter Cap Men Woolen Garam Topaa Cap Bennies Black,₹329.00,"('4.5 out of 5 stars', '235 ratings')",https://www.amazon.in/Boldfit-Beanie-Woolen-Thermal-Stylish/dp/B0CK5N2WTT/ref=zg_bs_g_sports_d_sccl_4/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-59%,https://m.media-amazon.com/images/I/71EvhiUJs-L._SX425_.jpg
sports,Yonex Mavis 350 Green Cap Nylon Shuttlecock (Yellow),"₹1,149.00","('4.1 out of 5 stars', '29')",https://www.amazon.in/Yonex-Mavis-350-Shuttlecock-Yellow/dp/B000FI8ER8/ref=zg_bs_g_sports_d_sccl_5/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-25%,https://m.media-amazon.com/images/I/61-rv4FJ3AL._SX425_.jpg
sports,Boldfit Long Winter Caps for Men Woolen Beanie Cap for Men & Women Stretchable Woolen Cap for Men for Winter Thermal Winter Cap for Men Long Skull Cap for Winter Men Winter Wear Beanies - Navy Blue,₹229.00,"('4.0 out of 5 stars', '593 ratings')",https://www.amazon.in/Boldfit-Winter-Stretchable-Thermal-Beanies/dp/B0DN1VBD5L/ref=zg_bs_g_sports_d_sccl_6/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-54%,https://m.media-amazon.com/images/I/714lOIwZ+8L._SX425_.jpg
sports,Amazon Brand - Symactive 4mm Anti-Skid Lightweight Sweat/Dirt Proof EVA Yoga Mat with Carrying Strap for Gym & Outdoor Workout for Men/Women (Grey),₹132.88,"('3.8 out of 5 stars', '1')",https://www.amazon.in/Amazon-Brand-Symactive-Anti-Skid-Lightweight/dp/B0CVRRB68M/ref=zg_bs_g_sports_d_sccl_7/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-83%,https://m.media-amazon.com/images/I/81LvTEsCcaL._SX425_.jpg
sports,Yonex Mavis 200i Nylon Shuttle Cock,₹474.00,"('4.3 out of 5 stars', '30')",https://www.amazon.in/Yonex-Mavis-200i-Shuttle-Yellow/dp/B01IEVIVAC/ref=zg_bs_g_sports_d_sccl_8/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-29%,https://m.media-amazon.com/images/I/71XJ3j9NhaL._SX425_.jpg
sports,Boldfit Natural Rubber Heavy Resistance Band For Workout Set Exercise&Stretching Pull Up Bands For Home Exercise For Gym Men&Women Resistance Bands Loop Bands Toning Bands Resistance,₹154.00,"('4.1 out of 5 stars', '12')",https://www.amazon.in/Boldfit-Resistance-Band-Stretching-Resistances/dp/B08H8KD72Q/ref=zg_bs_g_sports_d_sccl_9/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-78%,https://m.media-amazon.com/images/I/61pqeHoXFZL._SX425_.jpg
sports,Boldfit Adjustable Hand Grip Strengthener,₹179.00,"('4.2 out of 5 stars', '24')",https://www.amazon.in/Boldfit-Adjustable-Strengthener-Exercise-Equipment/dp/B0B77X44MX/ref=zg_bs_g_sports_d_sccl_10/262-1208522-7202516?psc=1,Amazon,RetailEZ Pvt Ltd,-64%,https://m.media-amazon.com/images/I/61Av1lptLkL._SX425_.jpg
